table_source,evaluation_protocol,analysis_family,model_name,modality,modality_combination,feature_strategy,base_feature_set,ablation_name,removed_features,fusion_method,dataset,split,audit_model,control_method,prediction_source,calibration_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
domain_shift_audit_metrics,,,,cough,,,,,,,,,domain_logistic_regression,,,,3768,,,0.884,,,0.910,0.085,0.057,0.291
domain_shift_audit_metrics,,,,cough,,,,,,,,,domain_logistic_regression,,,,3728,,,0.845,,,0.879,0.112,0.079,0.368
domain_shift_audit_metrics,,,,cough,,,,,,,,,domain_logistic_regression,,,,3728,,,0.904,,,0.929,0.069,0.043,0.251
domain_shift_audit_metrics,,,,cough,,,,,,,,,domain_logistic_regression,,,,3728,,,0.819,,,0.865,0.132,0.088,0.538
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.510,0.038,0.509,0.323,0.696,0.065,0.085,0.202,0.322
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.539,0.042,0.522,0.614,0.429,0.069,0.133,0.286,0.434
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.483,0.036,0.491,0.298,0.684,0.058,0.119,0.271,0.409
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.499,0.039,0.488,0.361,0.614,0.059,0.127,0.283,0.426
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.547,0.039,0.525,0.182,0.867,0.074,0.070,0.158,0.277
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.550,0.040,0.536,0.530,0.542,0.073,0.142,0.287,0.448
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.552,0.039,0.517,0.211,0.823,0.068,0.080,0.180,0.303
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.551,0.040,0.529,0.495,0.564,0.072,0.141,0.290,0.449
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.542,0.038,0.508,0.161,0.854,0.061,0.090,0.200,0.328
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.549,0.040,0.519,0.340,0.697,0.069,0.141,0.284,0.445
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.553,0.039,0.515,0.186,0.845,0.067,0.091,0.201,0.331
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.550,0.041,0.515,0.330,0.700,0.067,0.143,0.284,0.449
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.499,0.035,0.493,0.211,0.775,0.056,0.112,0.264,0.395
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,all,,,,,,,,,,platt,8331,0.500,0.036,0.503,0.418,0.589,0.064,0.128,0.290,0.431
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.502,0.035,0.493,0.214,0.771,0.056,0.115,0.271,0.404
domain_adaptation_baseline_metrics,,,logistic_regression,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.499,0.036,0.509,0.309,0.710,0.065,0.128,0.291,0.431
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,unweighted,,,318,0.879,0.832,0.804,0.767,0.842,0.731,0.190,0.150,0.564
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.807,0.624,0.742,0.679,0.804,0.541,0.156,0.190,0.495
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.807,0.624,0.742,0.679,0.804,0.541,0.156,0.190,0.495
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.807,0.624,0.742,0.679,0.804,0.541,0.156,0.190,0.495
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.793,0.573,0.731,0.679,0.782,0.489,0.150,0.203,0.483
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.787,0.555,0.726,0.679,0.773,0.470,0.149,0.207,0.480
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.787,0.555,0.726,0.679,0.773,0.470,0.149,0.207,0.480
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.793,0.573,0.731,0.679,0.782,0.489,0.150,0.203,0.483
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.780,0.537,0.721,0.679,0.763,0.450,0.147,0.210,0.478
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.779,0.533,0.719,0.679,0.760,0.440,0.146,0.213,0.475
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.793,0.573,0.731,0.679,0.782,0.489,0.150,0.203,0.483
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.780,0.537,0.721,0.679,0.763,0.450,0.147,0.210,0.478
ipw_sensitivity_metrics,,,,,,,,,,quality_weighted_auprc,,,,ipw_label_propensity,,,318,0.778,0.521,0.715,0.679,0.751,0.412,0.143,0.223,0.469
external_prevalence_recalibration,,,logistic_regression,cough,,,,,,,coughvid,external,,,cross_dataset_predictions,,8331,0.529,0.043,0.523,0.232,0.814,0.071,0.151,0.280,0.472
external_prevalence_recalibration,,,logistic_regression,cough,,,,,,,coughvid,external,,,cross_dataset_predictions,,8331,0.529,0.043,0.504,0.011,0.997,0.019,0.037,0.019,0.170
external_prevalence_recalibration,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.496,0.034,0.490,0.067,0.913,0.038,0.103,0.218,0.358
external_prevalence_recalibration,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.496,0.034,0.500,0.000,1.000,0.000,0.035,0.012,0.161
external_prevalence_recalibration,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.495,0.033,0.491,0.088,0.895,0.043,0.110,0.229,0.374
external_prevalence_recalibration,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.495,0.033,0.500,0.000,1.000,0.000,0.035,0.013,0.163
external_prevalence_recalibration,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.494,0.033,0.493,0.133,0.852,0.050,0.132,0.266,0.427
external_prevalence_recalibration,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.494,0.033,0.500,0.000,1.000,0.000,0.035,0.015,0.163
external_prevalence_recalibration,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.516,0.036,0.503,0.158,0.848,0.058,0.133,0.272,0.431
external_prevalence_recalibration,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.516,0.036,0.500,0.000,1.000,0.000,0.034,0.010,0.160
external_prevalence_recalibration,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.499,0.033,0.484,0.123,0.846,0.045,0.134,0.271,0.433
external_prevalence_recalibration,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.499,0.033,0.500,0.000,1.000,0.000,0.035,0.013,0.162
external_prevalence_recalibration,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.493,0.033,0.494,0.088,0.901,0.045,0.104,0.217,0.363
external_prevalence_recalibration,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.493,0.033,0.500,0.000,1.000,0.000,0.036,0.018,0.164
external_prevalence_recalibration,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.481,0.032,0.488,0.088,0.889,0.042,0.109,0.223,0.374
external_prevalence_recalibration,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.481,0.032,0.500,0.000,1.000,0.000,0.036,0.020,0.165
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.495,0.033,0.490,0.123,0.857,0.048,0.125,0.251,0.411
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.495,0.033,0.500,0.000,1.000,0.000,0.035,0.018,0.164
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.513,0.035,0.512,0.186,0.838,0.065,0.131,0.260,0.424
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.513,0.035,0.500,0.000,1.000,0.000,0.035,0.019,0.163
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.506,0.033,0.487,0.130,0.844,0.047,0.131,0.259,0.424
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.506,0.033,0.500,0.000,1.000,0.000,0.035,0.020,0.165
external_prevalence_recalibration,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.542,0.038,0.504,0.105,0.902,0.054,0.090,0.200,0.328
external_prevalence_recalibration,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.542,0.038,0.500,0.000,1.000,0.000,0.034,0.014,0.156
external_prevalence_recalibration,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.553,0.039,0.515,0.133,0.896,0.066,0.091,0.201,0.331
external_prevalence_recalibration,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.553,0.039,0.500,0.000,1.000,0.000,0.034,0.015,0.157
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.499,0.033,0.488,0.161,0.814,0.050,0.141,0.274,0.443
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.499,0.033,0.500,0.000,1.000,0.000,0.035,0.013,0.164
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.503,0.033,0.486,0.151,0.821,0.049,0.141,0.283,0.448
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.503,0.033,0.500,0.000,1.000,0.000,0.034,0.011,0.162
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.500,0.033,0.485,0.154,0.816,0.049,0.142,0.282,0.448
external_prevalence_recalibration,,,logistic_regression,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.500,0.033,0.500,0.000,1.000,0.000,0.034,0.011,0.162
external_prevalence_recalibration,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.470,0.031,0.487,0.025,0.950,0.020,0.110,0.252,0.387
external_prevalence_recalibration,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.470,0.031,0.500,0.000,1.000,0.000,0.034,0.003,0.156
external_prevalence_recalibration,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.471,0.031,0.483,0.028,0.937,0.020,0.115,0.260,0.397
external_prevalence_recalibration,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.471,0.031,0.500,0.000,1.000,0.000,0.034,0.003,0.157
external_prevalence_recalibration,,,random_forest,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.485,0.032,0.485,0.060,0.911,0.033,0.121,0.268,0.411
external_prevalence_recalibration,,,random_forest,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.485,0.032,0.500,0.000,1.000,0.000,0.034,0.004,0.157
external_prevalence_recalibration,,,random_forest,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.519,0.036,0.505,0.098,0.913,0.055,0.123,0.274,0.415
external_prevalence_recalibration,,,random_forest,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.519,0.036,0.500,0.000,1.000,0.000,0.034,0.004,0.154
external_prevalence_recalibration,,,random_forest,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.493,0.032,0.482,0.060,0.905,0.032,0.123,0.269,0.414
external_prevalence_recalibration,,,random_forest,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.493,0.032,0.500,0.000,1.000,0.000,0.034,0.005,0.157
external_prevalence_recalibration,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.491,0.034,0.489,0.067,0.912,0.038,0.103,0.216,0.357
external_prevalence_recalibration,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.491,0.034,0.500,0.000,1.000,0.000,0.035,0.012,0.162
external_prevalence_recalibration,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.488,0.033,0.493,0.095,0.892,0.046,0.110,0.225,0.372
external_prevalence_recalibration,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.488,0.033,0.500,0.000,1.000,0.000,0.035,0.014,0.164
external_prevalence_recalibration,,,xgboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.487,0.033,0.492,0.140,0.845,0.051,0.133,0.268,0.430
external_prevalence_recalibration,,,xgboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.487,0.033,0.500,0.000,1.000,0.000,0.035,0.012,0.163
external_prevalence_recalibration,,,xgboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.511,0.035,0.500,0.161,0.839,0.056,0.136,0.275,0.436
external_prevalence_recalibration,,,xgboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.511,0.035,0.500,0.000,1.000,0.000,0.034,0.010,0.161
external_prevalence_recalibration,,,xgboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.491,0.032,0.487,0.144,0.829,0.048,0.139,0.276,0.443
external_prevalence_recalibration,,,xgboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_beats_predictions,platt,8331,0.491,0.032,0.500,0.000,1.000,0.000,0.035,0.013,0.164
external_prevalence_recalibration,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.514,0.038,0.503,0.081,0.926,0.051,0.102,0.223,0.358
external_prevalence_recalibration,,,catboost,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.514,0.038,0.500,0.000,1.000,0.000,0.034,0.008,0.158
external_prevalence_recalibration,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.491,0.039,0.944,0.029,0.095,0.214,0.343
external_prevalence_recalibration,,,catboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.500,0.000,1.000,0.000,0.034,0.007,0.157
external_prevalence_recalibration,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.512,0.041,0.490,0.063,0.917,0.037,0.103,0.221,0.359
external_prevalence_recalibration,,,catboost,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.512,0.041,0.500,0.000,1.000,0.000,0.034,0.010,0.159
external_prevalence_recalibration,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.545,0.037,0.497,0.056,0.937,0.040,0.107,0.245,0.377
external_prevalence_recalibration,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.545,0.037,0.500,0.000,1.000,0.000,0.034,0.004,0.153
external_prevalence_recalibration,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.528,0.035,0.491,0.056,0.926,0.036,0.106,0.236,0.370
external_prevalence_recalibration,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.528,0.035,0.500,0.000,1.000,0.000,0.034,0.006,0.156
external_prevalence_recalibration,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.508,0.037,0.498,0.074,0.923,0.045,0.099,0.223,0.356
external_prevalence_recalibration,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.508,0.037,0.500,0.000,1.000,0.000,0.034,0.010,0.157
external_prevalence_recalibration,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.514,0.034,0.496,0.056,0.937,0.040,0.093,0.214,0.343
external_prevalence_recalibration,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.514,0.034,0.500,0.000,1.000,0.000,0.034,0.009,0.156
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.508,0.037,0.505,0.095,0.916,0.055,0.102,0.225,0.361
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.508,0.037,0.500,0.000,1.000,0.000,0.034,0.010,0.158
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.491,0.056,0.927,0.036,0.108,0.248,0.381
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.500,0.000,1.000,0.000,0.034,0.004,0.155
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.495,0.074,0.917,0.043,0.106,0.239,0.374
external_prevalence_recalibration,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.516,0.035,0.500,0.000,1.000,0.000,0.034,0.008,0.156
external_prevalence_recalibration,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_opensmile_egemaps_predictions,platt,8331,0.547,0.039,0.500,0.032,0.969,0.033,0.070,0.158,0.277
